stationName,stationCode,stationOldCode,drainageArea6,drainageArea30,areaStudyName,omor,county,startYear,longDecimalDegrees,latDecimalDegrees,elevation
امور آب سبزوار,110147060,47-060,فلات مرکزی,کویر مرکزی,سبزوار,سبزوار,سبزوار,1360,57.685,36.21638889,977
چناران,110164056,64-056,قره قوم,قره قوم,مشهد,مشهد,چناران,1364,59.12638889,36.64777778,1170
فریمان,110162090,62-090,قره قوم,قره قوم,فریمان ـتربت جام,تربت جام,فریمان,1367,59.84611111,35.695,1415
