Hoze30Name,Hoze30Code,Hoze6Name,Hoze6Code,MahdodehName,MahdodehCode,OstanMotevali
دریاچه نمک,41,فلات مرکزی,4,آستانه,4123,مرکزی
دریاچه نمک,41,فلات مرکزی,4,آوج,4108,قزوین
کویر سیاه کوه,48,فلات مرکزی,4,باد ـ خالدآباد,4803,اصفهان
هامون جازموریان,45,فلات مرکزی,4,بافت,4508,کرمان
کویر درانجیر,49,فلات مرکزی,4,بافق,4908,یزد
کویر مرکزی,47,فلات مرکزی,4,بجستان یونسی,4721,خراسان رضوی
کویر مرکزی,47,فلات مرکزی,4,بردسکن,4717,خراسان رضوی
کویر درانجیر,49,فلات مرکزی,4,بردسیر,4905,کرمان
هامون جازموریان,45,فلات مرکزی,4,بزمان ـ سردگال,4516,سیستان و بلوچستان
هامون جازموریان,45,فلات مرکزی,4,بزنجان,4507,کرمان
کویر مرکزی,47,فلات مرکزی,4,بسطام,4750,سمنان
کویر مرکزی,47,فلات مرکزی,4,بشرویه,4720,خراسان جنوبی
طشک - بختگان - مهارلو,43,فلات مرکزی,4,بکان,4322,فارس
دریاچه نمک,41,فلات مرکزی,4,بلوک شراء,4119,مرکزی
کویر لوت,46,فلات مرکزی,4,بم ـ نرماشیر,4620,کرمان
گاو خونی,42,فلات مرکزی,4,بن ـ سامان,4210,چهار محال بختیاری
کویر لوت,46,فلات مرکزی,4,بهاباد,4607,یزد
کویر درانجیر,49,فلات مرکزی,4,بهادران,4903,یزد
ابرقو - سیرجان,44,فلات مرکزی,4,بوانات,4408,فارس
گاو خونی,42,فلات مرکزی,4,بوئین ـ میان‌دشت,4212,اصفهان
کویر مرکزی,47,فلات مرکزی,4,بیارجمند,4732,سمنان
کویر مرکزی,47,فلات مرکزی,4,بیاضه,4713,اصفهان
کویر لوت,46,فلات مرکزی,4,بیرجند,4616,خراسان جنوبی
طشک - بختگان - مهارلو,43,فلات مرکزی,4,بیضا ـ زرقان,4318,فارس
کویر مرکزی,47,فلات مرکزی,4,بیمرغ ـ عمرانی,4724,خراسان رضوی
هامون جازموریان,45,فلات مرکزی,4,پایاب دهوج,4506,کرمان
هامون جازموریان,45,فلات مرکزی,4,پهنه هامون جازموریان,4521,سیستان و بلوچستان
کویر لوت,46,فلات مرکزی,4,تخت نادری,4608,یزد
کویر مرکزی,47,فلات مرکزی,4,تربت حیدریه,4728,خراسان رضوی
کویر مرکزی,47,فلات مرکزی,4,ترود,4731,سمنان
کویر سیاه کوه,48,فلات مرکزی,4,تفت ـنصرآباد,4809,یزد
دریاچه نمک,41,فلات مرکزی,4,تفرش,4113,مرکزی
طشک - بختگان - مهارلو,43,فلات مرکزی,4,تنگ حنا ـ پیچگان,4310,فارس
دریاچه نمک,41,فلات مرکزی,4,تهران ـ کرج,4133,تهران
طشک - بختگان - مهارلو,43,فلات مرکزی,4,توابع ارسنجان,4301,فارس
کویر مرکزی,47,فلات مرکزی,4,جاجرم,4742,خراسان شمالی
کویر مرکزی,47,فلات مرکزی,4,جندق,4711,اصفهان
کویر مرکزی,47,فلات مرکزی,4,جنگل,4726,خراسان رضوی
طشک - بختگان - مهارلو,43,فلات مرکزی,4,جنوب دریاچه طشک,4304,فارس
کویر مرکزی,47,فلات مرکزی,4,جوین,4740,خراسان رضوی
هامون جازموریان,45,فلات مرکزی,4,جیرفت,4503,کرمان
گاو خونی,42,فلات مرکزی,4,چادگان,4211,اصفهان
هامون جازموریان,45,فلات مرکزی,4,چاه هاشم,4514,سیستان و بلوچستان
ابرقو - سیرجان,44,فلات مرکزی,4,چاهک ـشهریاری,4412,یزد
کویر لوت,46,فلات مرکزی,4,چاهک ـموسویه,4602,خراسان جنوبی
گاو خونی,42,فلات مرکزی,4,چلگرد ـقلعه شاهرخ,4216,چهار محال بختیاری
کویر لوت,46,فلات مرکزی,4,چهل پایه,4611,یزد
گاو خونی,42,فلات مرکزی,4,چهل خانه,4213,اصفهان
کویر مرکزی,47,فلات مرکزی,4,چویانان,4710,اصفهان
ابرقو - سیرجان,44,فلات مرکزی,4,حسن آباد ـ قوری,4413,فارس
کویر لوت,46,فلات مرکزی,4,حصاروئیه,4626,سیستان و بلوچستان
کویر مرکزی,47,فلات مرکزی,4,حلوان ـ رباط خان,4714,یزد
ابرقو - سیرجان,44,فلات مرکزی,4,خاتون آباد,4414,کرمان
طشک - بختگان - مهارلو,43,فلات مرکزی,4,خانه کت,4306,فارس
طشک - بختگان - مهارلو,43,فلات مرکزی,4,خسرو شیرین,4320,فارس
دریاچه نمک,41,فلات مرکزی,4,خمین,4131,مرکزی
دریاچه نمک,41,فلات مرکزی,4,خناجین,4114,مرکزی
کویر مرکزی,47,فلات مرکزی,4,خور ـ فرخی,4712,اصفهان
طشک - بختگان - مهارلو,43,فلات مرکزی,4,خیر,4307,فارس
طشک - بختگان - مهارلو,43,فلات مرکزی,4,داریان,4312,فارس
کویر مرکزی,47,فلات مرکزی,4,دامغان,4747,سمنان
گاو خونی,42,فلات مرکزی,4,دامنه ـ داران,4214,اصفهان
کویر مرکزی,47,فلات مرکزی,4,داورزن ـ فرومد,4734,خراسان رضوی
کویر مرکزی,47,فلات مرکزی,4,درونه,4716,خراسان رضوی
دریاچه نمک,41,فلات مرکزی,4,دریاچه نمک,4101,قم
طشک - بختگان - مهارلو,43,فلات مرکزی,4,دزگرد ـ کامفیروز,4319,فارس
کویر مرکزی,47,فلات مرکزی,4,دستگردان,4715,یزد
کویر مرکزی,47,فلات مرکزی,4,دشت رخ,4739,خراسان رضوی
طشک - بختگان - مهارلو,43,فلات مرکزی,4,دشت نمدان,4317,فارس
هامون جازموریان,45,فلات مرکزی,4,دشتاب,4509,کرمان
کویر لوت,46,فلات مرکزی,4,دق تل حمید,4605,یزد
کویر لوت,46,فلات مرکزی,4,دق سرجنگل,4609,کرمان
کویر سیاه کوه,48,فلات مرکزی,4,دق سرخ,4804,اصفهان
کویر لوت,46,فلات مرکزی,4,دق کهورک,4624,سیستان و بلوچستان
هامون جازموریان,45,فلات مرکزی,4,دلگان ـ چاه کیجی,4520,سیستان و بلوچستان
دریاچه نمک,41,فلات مرکزی,4,دماوند,4135,تهران
طشک - بختگان - مهارلو,43,فلات مرکزی,4,ده بید,4316,فارس
کویر لوت,46,فلات مرکزی,4,ده سلم,4633,خراسان جنوبی
ابرقو - سیرجان,44,فلات مرکزی,4,ده شیر,4405,یزد
کویر لوت,46,فلات مرکزی,4,دومک,4627,سیستان و بلوچستان
کویر لوت,46,فلات مرکزی,4,دیهوک,4613,یزد
هامون جازموریان,45,فلات مرکزی,4,رابر,4511,کرمان
هامون جازموریان,45,فلات مرکزی,4,رامون ـ بحرآسمان,4504,کرمان
کویر لوت,46,فلات مرکزی,4,راور,4610,کرمان
کویر لوت,46,فلات مرکزی,4,راین,4621,کرمان
کویر لوت,46,فلات مرکزی,4,رحمت آباد,4623,کرمان
دریاچه نمک,41,فلات مرکزی,4,رزن ـ قهاوند,4115,همدان
کویر مرکزی,47,فلات مرکزی,4,رشتخوار,4727,خراسان رضوی
کویر درانجیر,49,فلات مرکزی,4,رفسنجان,4902,کرمان
هامون جازموریان,45,فلات مرکزی,4,رودبارجیرفت,4501,کرمان
کویر مرکزی,47,فلات مرکزی,4,ریوش,4730,خراسان رضوی
کویر درانجیر,49,فلات مرکزی,4,زرند,4911,کرمان
دریاچه نمک,41,فلات مرکزی,4,زرند ساوه,4102,مرکزی
کویر لوت,46,فلات مرکزی,4,ساردوئیه,4622,کرمان
کویر درانجیر,49,فلات مرکزی,4,ساغند,4912,یزد
دریاچه نمک,41,فلات مرکزی,4,ساوه,4112,مرکزی
کویر مرکزی,47,فلات مرکزی,4,سبزوار,4735,خراسان رضوی
کویر لوت,46,فلات مرکزی,4,سده,4603,خراسان جنوبی
هامون جازموریان,45,فلات مرکزی,4,سراب هلیل,4512,کرمان
کویر لوت,46,فلات مرکزی,4,سرایان,4601,خراسان جنوبی
طشک - بختگان - مهارلو,43,فلات مرکزی,4,سرپنیران,4314,فارس
ابرقو - سیرجان,44,فلات مرکزی,4,سرچاهان,4410,فارس
کویر مرکزی,47,فلات مرکزی,4,سرخه,4703,سمنان
طشک - بختگان - مهارلو,43,فلات مرکزی,4,سروستان,4326,فارس
طشک - بختگان - مهارلو,43,فلات مرکزی,4,سعادت آباد,4313,فارس
هامون جازموریان,45,فلات مرکزی,4,سلطانی,4510,کرمان
کویر لوت,46,فلات مرکزی,4,سمن آباد ـ عمبری,4635,خراسان جنوبی
کویر مرکزی,47,فلات مرکزی,4,سمنان,4704,سمنان
کویر لوت,46,فلات مرکزی,4,سهل آباد,4636,خراسان جنوبی
طشک - بختگان - مهارلو,43,فلات مرکزی,4,سیدان ـ فاروق,4303,فارس
ابرقو - سیرجان,44,فلات مرکزی,4,سیرجان,4419,کرمان
کویر درانجیر,49,فلات مرکزی,4,سیریز ـ طغرل جرد,4910,کرمان
دریاچه نمک,41,فلات مرکزی,4,شازند,4120,مرکزی
کویر مرکزی,47,فلات مرکزی,4,شاهرود,4749,سمنان
دریاچه نمک,41,فلات مرکزی,4,شریف آباد,4125,قم
کویر لوت,46,فلات مرکزی,4,شهداد,4617,کرمان
ابرقو - سیرجان,44,فلات مرکزی,4,شهر بابک,4411,کرمان
کویر مرکزی,47,فلات مرکزی,4,شوقان,4744,خراسان شمالی
طشک - بختگان - مهارلو,43,فلات مرکزی,4,شیراز,4323,فارس
ابرقو - سیرجان,44,فلات مرکزی,4,صادق آباد,4403,فارس
کویر مرکزی,47,فلات مرکزی,4,صفی آباد,4745,خراسان شمالی
کویر لوت,46,فلات مرکزی,4,طبس,4604,یزد
کویر سیاه کوه,48,فلات مرکزی,4,طرق ـ ابیازن,4802,اصفهان
کویر مرکزی,47,فلات مرکزی,4,عطائیه,4736,خراسان رضوی
کویر سیاه کوه,48,فلات مرکزی,4,عقدا,4807,یزد
گاو خونی,42,فلات مرکزی,4,علویجه ـدهق,4204,اصفهان
کویر لوت,46,فلات مرکزی,4,علی آباد هامون,4614,خراسان جنوبی
هامون جازموریان,45,فلات مرکزی,4,فاریاب شرقی,4502,کرمان
کویر مرکزی,47,فلات مرکزی,4,فردوس,4719,خراسان جنوبی
کویر مرکزی,47,فلات مرکزی,4,فیروزکوه,4706,تهران
طشک - بختگان - مهارلو,43,فلات مرکزی,4,قادرآباد ـ مادرسلیمان,4315,فارس
طشک - بختگان - مهارلو,43,فلات مرکزی,4,قره باغ,4324,فارس
کویر درانجیر,49,فلات مرکزی,4,قریته العرب,4907,کرمان
دریاچه نمک,41,فلات مرکزی,4,قزوین,4106,قزوین
ابرقو - سیرجان,44,فلات مرکزی,4,قطروئیه,4416,فارس
دریاچه نمک,41,فلات مرکزی,4,قطعه 4 ساوه,4103,تهران
هامون جازموریان,45,فلات مرکزی,4,قلعه گنج و کم سفید,4513,کرمان
کویر مرکزی,47,فلات مرکزی,4,قلعه میدان,4737,خراسان رضوی
دریاچه نمک,41,فلات مرکزی,4,قم ـ کهک,4126,قم
گاو خونی,42,فلات مرکزی,4,قمشه,4218,اصفهان
دریاچه نمک,41,فلات مرکزی,4,قیدار,4109,زنجان
هامون جازموریان,45,فلات مرکزی,4,کارواندر,4519,سیستان و بلوچستان
دریاچه نمک,41,فلات مرکزی,4,کاشان,4132,اصفهان
کویر مرکزی,47,فلات مرکزی,4,کاشمر,4729,خراسان رضوی
دریاچه نمک,41,فلات مرکزی,4,کبودر آهنگ,4116,همدان
کویر درانجیر,49,فلات مرکزی,4,کرمان ـ باغین,4906,کرمان
گاو خونی,42,فلات مرکزی,4,کرون,4207,اصفهان
کویر لوت,46,فلات مرکزی,4,کشیت,4619,کرمان
ابرقو - سیرجان,44,فلات مرکزی,4,کفه طاغستان,4406,یزد
دریاچه نمک,41,فلات مرکزی,4,کمیجان,4118,مرکزی
طشک - بختگان - مهارلو,43,فلات مرکزی,4,کوار مهارلو,4325,فارس
کویر لوت,46,فلات مرکزی,4,کورین ـ شورو,4628,سیستان و بلوچستان
کویر درانجیر,49,فلات مرکزی,4,کوهبنان,4909,کرمان
گاو خونی,42,فلات مرکزی,4,کوهپایه ـ سگزی,4201,اصفهان
ابرقو - سیرجان,44,فلات مرکزی,4,کویر ابرقو,4404,یزد
کویر مرکزی,47,فلات مرکزی,4,کویر حاج علی قلی (کویر دامغان),4748,سمنان
کویر مرکزی,47,فلات مرکزی,4,کویر خارطوران,4733,سمنان
کویر درانجیر,49,فلات مرکزی,4,کویر درانجیر,4901,یزد
کویر سیاه کوه,48,فلات مرکزی,4,کویر ریگ زرین,4811,یزد
کویر مرکزی,47,فلات مرکزی,4,کویر سمنان,4702,سمنان
کویر سیاه کوه,48,فلات مرکزی,4,کویر سیاه کوه,4810,یزد
ابرقو - سیرجان,44,فلات مرکزی,4,کویر سیرجان,4418,کرمان
ابرقو - سیرجان,44,فلات مرکزی,4,کویر قطروئیه,4417,فارس
کویر لوت,46,فلات مرکزی,4,کویر لوت,4634,کرمان
کویر مرکزی,47,فلات مرکزی,4,کویر مرکزی (دشت کویر),4701,سمنان
کویر مرکزی,47,فلات مرکزی,4,کویر نمک (کویر بجستان),4718,خراسان جنوبی
ابرقو - سیرجان,44,فلات مرکزی,4,کویر هرات و مروست,4415,کرمان
کویر لوت,46,فلات مرکزی,4,کویراله آباد,4606,یزد
گاو خونی,42,فلات مرکزی,4,گاوخونی,4221,اصفهان
کویر لوت,46,فلات مرکزی,4,گرگی زیارت,4631,سیستان و بلوچستان
کویر مرکزی,47,فلات مرکزی,4,گرمسار,4705,سمنان
طشک - بختگان - مهارلو,43,فلات مرکزی,4,گشنگان,4327,فارس
کویر لوت,46,فلات مرکزی,4,گلباف (گوک),4618,کرمان
دریاچه نمک,41,فلات مرکزی,4,گلپایگان,4130,اصفهان
کویر مرکزی,47,فلات مرکزی,4,گناباد,4725,خراسان رضوی
کویر لوت,46,فلات مرکزی,4,گوهرکوه,4625,سیستان و بلوچستان
گاو خونی,42,فلات مرکزی,4,لنجانات,4209,اصفهان
دریاچه نمک,41,فلات مرکزی,4,لنگرود,4121,مرکزی
دریاچه نمک,41,فلات مرکزی,4,لواسانات,4136,تهران
کویر مرکزی,47,فلات مرکزی,4,مبارکیه (کویر گرمسار),4707,تهران
دریاچه نمک,41,فلات مرکزی,4,محلات ـ دلیجان,4128,مرکزی
کویر مرکزی,47,فلات مرکزی,4,محولات,4722,خراسان رضوی
کویر لوت,46,فلات مرکزی,4,مختاران,4615,خراسان جنوبی
طشک - بختگان - مهارلو,43,فلات مرکزی,4,مرودشت ـ خرامه,4311,فارس
ابرقو - سیرجان,44,فلات مرکزی,4,مروست,4407,یزد
دریاچه نمک,41,فلات مرکزی,4,مسیله,4110,قم
گاو خونی,42,فلات مرکزی,4,مهیار جنوبی ـدشت آسمان,4217,اصفهان
گاو خونی,42,فلات مرکزی,4,مهیار شمالی,4208,اصفهان
دریاچه نمک,41,فلات مرکزی,4,موته,4129,اصفهان
گاو خونی,42,فلات مرکزی,4,مورچه خورت,4203,اصفهان
کویر مرکزی,47,فلات مرکزی,4,میامی,4746,سمنان
کویر لوت,46,فلات مرکزی,4,میغان ـ ده نو,4632,خراسان جنوبی
گاو خونی,42,فلات مرکزی,4,میمه,4205,اصفهان
کویر لوت,46,فلات مرکزی,4,نایبند,4612,یزد
کویر سیاه کوه,48,فلات مرکزی,4,نائین,4806,اصفهان
گاو خونی,42,فلات مرکزی,4,نجف آباد,4206,اصفهان
کویر لوت,46,فلات مرکزی,4,نصرت آباد,4630,سیستان و بلوچستان
دریاچه نمک,41,فلات مرکزی,4,نهرمیان,4122,مرکزی
دریاچه نمک,41,فلات مرکزی,4,نوبران,4111,مرکزی
طشک - بختگان - مهارلو,43,فلات مرکزی,4,نیریز,4309,فارس
دریاچه نمک,41,فلات مرکزی,4,نیزار ـ سلفچکان,4127,قم
کویر مرکزی,47,فلات مرکزی,4,نیشابور,4738,خراسان رضوی
ابرقو - سیرجان,44,فلات مرکزی,4,هرات,4409,یزد
دریاچه نمک,41,فلات مرکزی,4,هشتگرد,4105,تهران
دریاچه نمک,41,فلات مرکزی,4,همدان ـ بهار,4117,همدان
کویر مرکزی,47,فلات مرکزی,4,هومند ـ آبسرد,4709,تهران
دریاچه نمک,41,فلات مرکزی,4,ورامین,4134,تهران
گاو خونی,42,فلات مرکزی,4,یان چشمه,4215,چهار محال بختیاری
کویر سیاه کوه,48,فلات مرکزی,4,یزد ـ اردکان,4808,یزد
کویر مرکزی,47,فلات مرکزی,4,ینگجه,4741,خراسان رضوی
نمکزار خواف,51,مرزی شرق,5,اسفدان,5104,خراسان جنوبی
هامون مشکیل,53,مرزی شرق,5,اسفندک,5306,سیستان و بلوچستان
هامون هیرمند,52,مرزی شرق,5,بندان,5205,خراسان جنوبی
هامون مشکیل,53,مرزی شرق,5,تهلاب,5302,سیستان و بلوچستان
هامون مشکیل,53,مرزی شرق,5,جالق,5301,سیستان و بلوچستان
هامون هیرمند,52,مرزی شرق,5,حسین آباد,5202,خراسان جنوبی
هامون مشکیل,53,مرزی شرق,5,خاش,5303,سیستان و بلوچستان
نمکزار خواف,51,مرزی شرق,5,خواف,5101,خراسان رضوی
نمکزار خواف,51,مرزی شرق,5,خوشاب,5109,خراسان جنوبی
نمکزار خواف,51,مرزی شرق,5,درمیان ـ اسدآباد,5111,خراسان جنوبی
هامون هیرمند,52,مرزی شرق,5,دورح,5201,خراسان جنوبی
هامون هیرمند,52,مرزی شرق,5,زابل,5210,سیستان و بلوچستان
هامون مشکیل,53,مرزی شرق,5,زابلی,5307,سیستان و بلوچستان
هامون هیرمند,52,مرزی شرق,5,زاهدان,5209,سیستان و بلوچستان
نمکزار خواف,51,مرزی شرق,5,زوزن,5102,خراسان رضوی
هامون مشکیل,53,مرزی شرق,5,سراوان,5308,سیستان و بلوچستان
هامون هیرمند,52,مرزی شرق,5,سربیشه,5203,خراسان جنوبی
هامون مشکیل,53,مرزی شرق,5,سیب و سوران,5309,سیستان و بلوچستان
نمکزار خواف,51,مرزی شرق,5,شاه رخت ـ دق پترگان,5108,خراسان جنوبی
هامون هیرمند,52,مرزی شرق,5,علی آباد,5206,خراسان جنوبی
نمکزار خواف,51,مرزی شرق,5,قائن,5105,خراسان جنوبی
نمکزار خواف,51,مرزی شرق,5,قائنات,5106,خراسان جنوبی
نمکزار خواف,51,مرزی شرق,5,گزیک ـآواز,5110,خراسان جنوبی
نمکزار خواف,51,مرزی شرق,5,گیسور,5103,خراسان رضوی
هامون مشکیل,53,مرزی شرق,5,لادیز,5305,سیستان و بلوچستان
هامون مشکیل,53,مرزی شرق,5,میرجاوه,5304,سیستان و بلوچستان
نمکزار خواف,51,مرزی شرق,5,نمکزار خواف,5107,خراسان جنوبی
هامون هیرمند,52,مرزی شرق,5,نهبندان,5207,خراسان جنوبی
هامون هیرمند,52,مرزی شرق,5,هامون هیرمند,5204,سیستان و بلوچستان
هامون هیرمند,52,مرزی شرق,5,هرمک,5208,سیستان و بلوچستان
